LAN2 LAN3 LAN4 AGE PRI SEX MLAT FLAS SATV SATM ENG HGPA CGPA GRD
0 0 0  2  3  0  74  32  540  660   58  3.77  3.75  2
0 1 0  1  2  0  69  28  610  760   75  2.18  3.81  2
0 1 0  2  1  1  81  28  610  560   61  3.19  3.73  2
0 1 0  1  3  1  89  13  430  470   33  2.21  3.54  1
0 0 1  1  3  0  56  26  630  630   78  3.59  4.00 -1
1 0 0  2  3  1  95  22  440  580   48  3.25  3.20  2
1 0 0 -1 -1  0  71  -1   -1   -1   -1  2.46    -1 -1
0 0 1  1  3  1  95  -1  560  540   55  2.00  2.77 -1
1 0 0  2  2  1  87  23  500  570   41  2.67  3.52  2
1 0 0  2  2  0  28  10  360  500   -1  2.23  2.69 -1
0 0 0  2  1  0  62  20  560  610   54  3.31  3.93  1
0 0 1  1  3  1  86  -1  460  550   53  3.20  3.41 -1
1 0 0  2  3  1  78  23  470  400   50  2.93  3.93  1
1 0 0  1  3  1  99  26  600  430   61  2.17  2.60  1
0 0 0 -1 -1  0  71  13   -1   -1   -1  2.69    -1  1
0 0 1  1  3  0  66  23  550  590   56  3.74  3.43 -1
1 0 0  1  3  1  76  20   -1   -1   -1  2.56    -1 -1
0 1 0  2  3  0  89  25  721  581   79  2.92  3.57  2
0 0 0  1  1  1  94  24  490  520   53  2.38  2.93  1
0 1 0  2  3  0  93  29  430  510   38  3.07  3.75  2
1 0 0  1  3  1 102  24  380  490   51  3.35  3.03  2
0 1 0 -1 -1  1  83  -1  500  690   71  2.71  3.06  1
0 1 0  2  1  1  89  23  550  620   65  2.86  4.00  2
1 0 0  2  1  0  57  19  520  580   38  2.38  3.21  1
0 1 0  2  3  1 100  16  490  440   54  2.32  3.06  2
0 1 0  2  2  0  79  20   -1   -1   -1  3.39    -1  1
1 0 0  1  3  1  90  24  480  560   64  2.15  3.38  1
1 0 0  1  3  0  74  12  430  610   47  2.45  3.37  1
1 0 0  1  3  1  93  35  480  600   71  2.81  3.70  2
0 0 0  1  1  0 102  23  590  680   -1  3.60  2.97  2
0 1 0  1  1  1  83  19  400  630   46  2.53  3.23  1
0 0 0  1  2  1  97   9  310  460   40  2.47  3.31 -1
1 0 0  1  1  1  89  14  390  340   29  1.63  3.00 -1
0 0 0  1  1  1  86  32  460  520   40  3.13  3.57  1
0 0 0  2  1  0  94  -1  570  690   55  2.32  3.33  1
1 0 0  1  1  1  97  33  460  500   72  3.20  3.75  2
1 0 0  1  3  1  93  22  390  590   38  1.74  3.07  1
0 0 0  2  3  1  93  33  540  630   69  3.24  3.69  2
0 1 0  2  3  0  83  17  470  480   33  2.72  3.23  2
0 1 0  2  1  1 101  26  510  490   47  3.32  3.36  2
1 0 0  1  2  1  72  21  430  580   48  3.25  3.74  2
0 1 0  2  2  0  51  -1   -1   -1   -1  2.28    -1  1
0 0 0  2  3  0  48  25  480  720   62  3.34  3.21  1
0 1 0  1  2  0  87  21  500  460   35  2.69  3.47  1
1 0 0  2  2  0  96  28  550  650   47  3.41  3.94  2
1 0 0  2  1  1  38  25   -1   -1   -1  2.68    -1 -1
0 1 0  2  3  0  93  30  460  500   76  3.27  3.33  2
1 0 0  2  2  0  91  -1  420  490   40  2.23  2.97  1
1 0 0  2  2  0  84  -1  340  410   38  1.80  2.08 -1
0 0 1  1  3  1  55  21  540  370   57  2.15  3.37 -1
1 0 0  1  1  0  97  24  630  530   50  3.05  2.87  1
0 0 0  2  1  0  73  23  510  720   51  3.31  2.93  2
0 0 1  1  1  1 103  27  580  510   63  3.42  3.61 -1
1 0 0  2  2  0  81  13  330  440   27  2.11  2.89  1
0 0 0  2  3  0  53  -1  570  460   58  2.14  2.47  1
0 0 1  2  3  1  86  19   -1   -1   -1  3.40    -1 -1
0 0 1  1  3  1  45  19  420  570   39  2.30  3.06 -1
1 0 0  1  3  0  73  17  490  380   48  2.84  2.63  1
1 0 0  1  2  1  89  22  470  540   39  3.00  3.87  2
0 1 0  1  3  0  90  27  500  620   38  3.69  3.38  2
0 0 0  1  2  1 101  23  500  380   52  2.95  3.56  1
1 0 0  1  1  0  89  27  600  620   68  3.27  3.81  2
0 0 0  1  3  1  79  -1  530  570   55  2.89  2.93  1
1 0 0  2  2  0  79  -1  540  410   34  2.32  2.53  1
1 0 0  2  2  0 100  16  500  690   37  2.52  2.72  1
1 0 0  2  2  0  68  17   -1   -1   -1  2.56    -1  1
1 0 0  1  3  1  80  15  360  530   43  2.07  2.59  1
0 1 0  2  2  0  74  27  480  580   44  2.34  3.29  1
0 0 0  2  3  0  93  22   -1   -1   -1  3.80    -1  2
0 1 0  2  2  0  89  20   -1   -1   -1  2.25    -1  1
0 1 0  1  2  1  83  28  410  520   44  2.61  3.66  2
0 0 0  1  1  1  70  39  600  680   79  1.45  3.36  1
0 0 0  1  3  1  82  -1  640  430   80  2.09  3.21  1
0 1 0  1  3  1  91  29  430  610   64  2.05  3.81  2
0 1 0  1  3  1  86  37  540  620   59  3.70  3.94  2
1 0 0  1  3  1  98  18  440  560   55  2.14  3.19  1
0 1 0  1  1  1  70  37  510  640   80  3.59  3.97  2
0 1 0 -1 -1  1  98  -1  400  530   49  2.41  3.03 -1
0 1 0  2  1  0  80  34  520  540   55  3.39  3.15  2
0 1 0  2  3  0  58  17  550  620   40  3.40  3.63  1
0 0 0  2  2  0  76  -1  570  520   30  2.89  2.30  2
0 0 0  1  2  1  97  -1  450  370   61  2.52  3.20  2
0 1 0  2  1  0  97  23  550  530   82  2.79  2.81  2
1 0 0  1  3  0  65  29  500  670   59  2.77  3.79  1
0 1 0  1  3  1  75  38  550  620   66  3.53  4.00  2
0 1 0  1  3  1  82  27  500  590   55  2.41  2.83  1
1 0 0  1  2  0  81  -1   -1   -1   -1  2.68    -1  1
0 1 0  2  2  1  75  25  480  570   40  2.83  3.74  2
0 0 0  2  3  0  94  26  460  540   38  2.60  3.81  1
1 0 0  2  2  0  63  22  440  630   39  3.67  3.71  2
0 0 1  1  3  0  90  -1  360  490   44  3.35  2.93 -1
1 0 0  1  3  1  99  28  360  450   43  2.52  3.83  1
0 1 0  2  3  1  78  22  560  600   57  3.02  3.84  2
1 0 0  2  3  1  88  32  460  520   55  3.46  3.43  2
0 1 0  1  3  1  66  32  500  470   62  3.44  3.93  2
0 1 0  2  1  0  87  23  350  610   40  2.13  2.57  1
0 1 0  1  3  0  91  -1  650  530   80  2.53  3.12  2
0 1 0  2  3  1  80  21  600  550   68  2.65  3.13  2
0 1 0  1  1  0  72  -1  580  710   61  3.56  3.81  2
1 0 0  2  1  1  43  19   -1   -1   -1  1.68    -1  1
1 0 0  2  3  0  62  -1  570  730   53  3.40  3.94  1
0 1 0  1  1  0  81  24  640  640   66  1.27  2.64  1
0 0 0  1  1  1  83  29  450  590   70  3.38  3.42  1
1 0 0  2  2  0  77  16  350  320   19  2.41  2.71  1
0 1 0  1  3  0  90  22  550  580   49  2.12  3.44  1
1 0 0  2  2  0  71  15  410  430   37  2.60  2.00 -1
0 0 0  1  1  0  90  36  510  620   55  1.74  3.47  1
0 1 0  1  3  0  86  36  520  760   72  3.33  3.33  2
1 0 0  1  1  0  54  23  480  590   48  2.04  3.07  1
0 0 0  2  3  1  75  32  390  690   36  1.98  3.41  2
0 1 0 -1 -1  1  90  30  420  530   57  2.48  3.73  2
1 0 0  1  3  1  87  16  470  560   40  1.26  3.13  1
0 1 0  1  1  1  89  -1  390  450   46  2.04  2.41 -1
0 1 0  2  1  0  70  22  280  510   31  2.03  3.00  1
1 0 0  2  3  0  74  20  340  450   27  2.56  3.00  2
0 0 0  1  3  1  79  -1  540  580   60  3.03  3.73  1
0 1 0  1  3  1  84  -1  560  580   67  1.63  3.18  2
0 0 1  1  2  0  78  20  440  500   28  2.05  2.67 -1
0 1 0  1  1  0  90  -1  600  630   88  1.57  3.13  1
0 0 0  2  1  0  56  27  510  610   46  2.94  3.54  2
0 0 0 -1 -1  1  92  18   -1   -1   -1  2.09    -1  1
0 1 0  2  2  1 103  19  350  380   32  3.77  2.58  2
1 0 0  2  1  0  94  26   -1   -1   -1    -1    -1  1
0 1 0  2  2  1  89  19  480  480   62  3.56  4.00  2
0 1 0  2  1  0  72  34  690  710   77  2.87  3.50  1
0 1 0  1  3  0  84  25  530  650   63  3.73  3.63  2
0 1 0  1  1  0  85  27  450  670   39  3.82  3.67  2
0 0 0  2  2  0  84  18  450  700   58  2.25  2.91  2
0 1 0  1  3  0  81  26  490  520   56  2.80  2.68  1
0 0 0  2  1  0  93  15   -1   -1   -1  2.11    -1  1
0 1 0  1  1  0  94  33  620  650   91  3.18  3.62  1
0 1 0  2  2  0  73  27  430  660   44  3.46  3.06  2
0 1 0  1  3  1  84  37  520  640   59  2.82  4.00  2
0 1 0  1  3  1  96  31  590  570   68  3.25  2.91  2
0 1 0  2  1  1  98  33   -1   -1   -1  2.50    -1  2
0 0 0  1  3  1  97  27   -1   -1   -1  3.03    -1  1
0 1 0  2  3  1  65  -1  550  590   71  3.54  3.94 -1
0 1 0  2  1  0  89  29  510  540   54  3.22  4.00  2
0 0 0  2  2  0  79  22  380  610   46  2.10  3.27  1
0 0 0  1  3  1  53  25  540  620   62  2.86  3.56  1
0 1 0  2  2  1  84  20  450  570   39  3.34  2.62  2
0 1 0  2  3  1  76  -1  490  570   46  2.68  3.19  1
0 1 0  1  3  1 106  25  610  570   71  3.59  3.50  2
0 0 1  2  2  0  78  -1  500  570   57  2.09  2.90 -1
0 0 0  2  3  0  68  19   -1   -1   -1  2.44    -1  1
0 1 0  2  1  1  97  26  530  650   48  2.52  3.80  2
0 1 0  1  2  0  76  -1  500  600   45  3.10  3.71  2
0 1 0  2  2  0  73  21  410  590   41  2.54  2.88  2
0 1 0  1  2  0  91  22  570  530   66  2.72  3.20  1
1 0 0  2  3  0  80  22  420  450   37  2.97  3.47  2
0 1 0  2  1  0  90  36  550  800   83  3.85  3.97  2
1 0 0  2  2  0  73  -1   -1   -1   -1  2.16    -1 -1
0 0 0  2  3  0  83  14  310  610   22  1.84  2.79  1
0 0 0  1  3  1  87  24  480  520   44  2.58  2.93  1
0 1 0  2  2  1  92  23   -1   -1   -1  2.67    -1  2
0 1 0  2  2  0  76  28  560  580   74  3.20  2.84  2
0 1 0  1  1  1  78  27  540  580   59  2.81  3.59  2
0 1 0  1  1  0  68  28  510  540   43  3.00  2.12 -1
0 1 0  1  3  1 104  30  580  570   77  2.45  3.64  2
1 0 0  2  3  0  44  28  460  770   48  3.86  4.00  2
0 1 0  2  3  0  94  -1  360  530   39  2.82  3.03  2
1 0 0  2  2  0  58  15  510  520   36  2.61  2.73  1
1 0 0  1  2  1  66  29  590  610   57  3.03  3.75  2
